City,Latitude,Longitude,order
carraskea,54.146111100000006,-7.250555599999999,158
deh-e pas qalat,29.974290000000003,51.575939,159
al mitraq,16.5361111,43.281111100000004,160
allpacoto hacienda,-10.883333300000002,-77.5333333,161
steinfeldsiedlung,47.6,14.5,162
ciwadzi,-13.433333300000001,33.3666667,163
lyudeshnya,54.61666700000001,38.316666999999995,164
verstersfontein,-31.063347999999998,25.663945000000002,165
kulchapata,-19.2,-67.16666670000001,166
klubkovo,50.881181,45.731162,167
sempidi,-8.6068,115.1862,168
sitakunda,22.830972250000002,90.85666665,169
rissebavte,70.06666700000001,28.8,170
tocoroni,-16.25,-67.35,171
lhuntshi,27.65,91.15,172
sdider,34.537526,-5.076579,173
metlin,37.244439,10.050856,174
kampung sulai,4.873,115.3569,175
makkok,38.44185166666666,128.313889,176
geissmannsdorf,51.15,14.166667000000002,177
sepubtang,32.106,93.506,178
musteika,53.95,24.3833333,179
cannes,43.7252825,5.538006,180
selechauka,55.966666700000005,26.85,181
kalicina,43.599167,22.224722,182
zentai tanya,47.566666999999995,19.3,183
agalaioi,40.033333299999995,21.6166667,184
novo-yasinovskiy,47.708614000000004,38.985896999999994,185
tanquichua,-13.583333300000001,-74.1333333,186
deh-e pay tuf,31.065584,50.854382,187
gachhabari,24.65,90.08333329999999,188
glozane,42.97458315,23.11680565,189
maixe,48.64432,6.4402870000000005,190
ndokbom ii,4.6,10.266666699999998,191
palal,25.07691854,34.90583894,192
ziemupes muiza,56.75,21.0833333,193
angeh,36.2463,50.4611,194
bou khalled,35.494623,-5.411143,195
allgjate,41.32,19.7052778,196
seleden,48.255982,-3.071588,197
berkisor,39.639663,38.842731,198
tenampa,21.916666666666668,-98.08333333333333,199
gandaulim,15.5,73.916667,200
zimmerhof,49.253333000000005,9.120833,201
mammoth lakes,37.648611100000004,-118.9711111,202
habtsagay huryee,49.0166667,99.35,203
tjiranting,0.55,100.06666700000001,204
beliaghata,23.275000150000004,88.5916665,205
lwasingwa,-15.7,18.666667,206
garcin,32.42472225,-27.208472199999996,207
braiqaa,33.34305560000001,35.3861111,208
lavaniemi,62.86666700000001,29.566667,209
wanomutu,-9.5059,119.3626,210
kamatsu,27.716666999999998,129.01666699999998,211
menonaqua beach,45.4152778,-84.91305559999999,212
pir anjiri,35.919340000000005,61.159001,213
taping,26.282063899999997,113.55652792999999,214
la mallona,41.714552000000005,-2.718363,215
sancen,20.85,-88.266667,216
mohota,34.137013,73.682746,217
bakeoven,45.0866667,-120.83861110000001,218
manda-bosoro,8.583333300000001,15.2833333,219
jifarong,13.3,-15.866666699999998,220
coleja,41.156301,-7.2376119999999995,221
zishiya,34.656881,107.904393,222
habuai,-8.5453,122.6043,223
qingtangbu,24.550832999999997,112.436944,224
satlage,52.433333,8.516667,225
"kerttuv""ya",63.561890000000005,47.814873999999996,226
lewosze,52.498684999999995,23.218000000000004,227
khorsk,52.0833333,27.2,228
tjirelang,-7.0712,107.9658,229
khai kotli,32.9,73.616667,230
talegaon dhamdhere,18.65,74.15,231
kiarabengkok,-7.4247,108.6039,232
doudouf,14.333333300000001,-16.466666699999998,233
harreszell,48.4,11.316667,234
kampong ruan,1.183333,110.88333300000001,235
fairy valley,13.066666699999999,-59.5,236
kiaradelek,-6.8197220000000005,107.271111,237
bilheriz,40.466667,29.9,238
ca romano,43.766667,12.233333,239
dororotea,44.566666999999995,28.6,240
mourenx,43.383331,-0.6,241
glozyna,50.242028999999995,16.54119,242
erliangting,26.541666999999997,109.64583300000001,243
kulcsartanya,47.783333,20.033333,244
vigeois,45.380139,1.516348,245
